strategy,symbol,risk_pct,trades,annual_return_pct,max_dd_pct,winrate_pct,profit_factor,sharpe,years,final_balance,long_pct,short_pct,trades_per_month,best_month,best_month_pnl,worst_month,worst_month_pnl
ema_crossover,SUIUSDT,0.25,232,7.52,2.02,39.22,1.9767,1.229,3.0,124318.21,50.0,50.0,6.44,2026-01,9986.74,2024-03,-1407.31
ema_crossover,SUIUSDT,0.5,232,15.2,4.04,39.22,1.9699,1.229,3.0,152960.99,50.0,50.0,6.44,2026-01,22912.58,2024-03,-2931.07
ema_crossover,SUIUSDT,0.75,232,23.04,6.04,39.22,1.9634,1.229,3.0,186416.48,50.0,50.0,6.44,2026-01,39221.12,2026-02,-4682.49
ema_crossover,SUIUSDT,1.0,232,31.03,8.04,39.22,1.9569,1.23,3.0,225186.2,50.0,50.0,6.44,2026-01,59380.61,2026-02,-7504.32
bb_mean_reversion,SUIUSDT,0.25,3164,-71.35,97.66,28.03,0.6275,-5.913,3.0,2341.77,51.7,48.3,87.79,2023-06,830.65,2024-03,-11347.41
bb_mean_reversion,SUIUSDT,0.5,3164,-89.24,99.88,28.03,0.6728,-5.531,3.0,123.53,51.7,48.3,87.79,2023-06,2031.1,2023-08,-17291.57
bb_mean_reversion,SUIUSDT,0.75,3164,-95.63,99.99,28.03,0.6943,-5.527,3.0,8.28,51.7,48.3,87.79,2023-06,376.85,2023-08,-22642.88
bb_mean_reversion,SUIUSDT,1.0,3164,-98.16,100.0,28.03,0.701,-5.619,3.0,0.61,51.7,48.3,87.79,2026-05,-0.15,2023-08,-25823.49
volatility_breakout,SUIUSDT,0.25,301,-3.55,14.09,27.24,0.8228,-0.902,3.0,89722.12,44.5,55.5,8.35,2024-08,2197.28,2025-11,-1778.59
volatility_breakout,SUIUSDT,0.5,301,-7.11,26.46,27.24,0.8233,-0.902,3.0,80133.96,44.5,55.5,8.35,2024-08,4319.48,2025-01,-3454.34
volatility_breakout,SUIUSDT,0.75,301,-10.67,37.28,27.24,0.8239,-0.902,3.0,71246.28,44.5,55.5,8.35,2024-08,6357.31,2025-01,-5034.05
